id,category,name,slug,provider,vendor_code,vendor,type_product,price,stock,available
15002,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для серії SP 3600",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-seriyi-sp-3600-903669,megatrade,903669,Ricoh,TYPE_PRODUCT,519,1,1
15003,CATEGORY,"Інструкція користувача російською мовою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-904308,megatrade,904308,Ricoh,TYPE_PRODUCT,556,1,1
15004,CATEGORY,"Покажчик моделі Ricoh DD 5450",pokazhchik-modeli-ricoh-dd-5450-914158,megatrade,914158,Ricoh,TYPE_PRODUCT,954,1,1
15005,CATEGORY,"Покажчик моделі Ricoh DD 6650P",pokazhchik-modeli-ricoh-dd-6650p-985195,megatrade,985195,Ricoh,TYPE_PRODUCT,483,1,1
15006,CATEGORY,"Покажчик моделі Ricoh DX2430",pokazhchik-modeli-ricoh-dx2430-965854,megatrade,965854,Ricoh,TYPE_PRODUCT,81,1,1
15007,CATEGORY,"Покажчик моделі Ricoh MP C401SP",pokazhchik-modeli-ricoh-mp-c401sp-995166,megatrade,995166,Ricoh,TYPE_PRODUCT,136,1,1
15008,CATEGORY,"Покажчик моделі Ricoh Pro™ C5200S",pokazhchik-modeli-ricoh-protm-c5200s-404513,megatrade,404513,Ricoh,TYPE_PRODUCT,61,1,1
15009,CATEGORY,"CD-диск з записом шрифтів друку UNICODE",cd-disk-z-zapisom-shriftiv-druku-unicode-413009,megatrade,413009,Ricoh,TYPE_PRODUCT,10075,1,1
15010,CATEGORY,"CPS V4.0 INCLUDES ES-2000",cps-v4-0-includes-es-2000-404520,megatrade,404520,Ricoh,TYPE_PRODUCT,128855,1,1
15011,CATEGORY,"DOS TYPE H (11A MODELS)",dos-type-h-11a-models-416373,megatrade,416373,Ricoh,TYPE_PRODUCT,9557,1,1
15012,CATEGORY,"DVD диск з записом програмного забезпечення по відновленню роботи контролеру Fiery Pro C720",dvd-disk-z-zapisom-programnogo-zabezpechennia-po-vidnovlenniu-roboti-kontroleru-fiery-pro-c720-m0780480,megatrade,M0780480,Ricoh,TYPE_PRODUCT,3822,1,1
15013,CATEGORY,"Автоподавач оригіналів",avtopodavach-originaliv-243259,megatrade,243259,Ricoh,TYPE_PRODUCT,33130,1,1
15014,CATEGORY,"Вихідний лоток",vikhidnii-lotok-417904,megatrade,417904,Ricoh,TYPE_PRODUCT,4197,1,1
15015,CATEGORY,"Вихідний лоток для банерів ",vikhidnii-lotok-dlia-baneriv-404877,megatrade,404877,Ricoh,TYPE_PRODUCT,5018,1,1
15016,CATEGORY,"Вихідний лоток тип 9002",vikhidnii-lotok-tip-9002-416229,megatrade,416229,Ricoh,TYPE_PRODUCT,3759,1,1
15017,CATEGORY,"Внутрішній лоток розділення завдань BN2010",vnutrishnii-lotok-rozdilennia-zavdan-bn2010-416454,megatrade,416454,Ricoh,TYPE_PRODUCT,6586,1,1
15018,CATEGORY,"Вхідний лоток для банерів ",vkhidnii-lotok-dlia-baneriv-404878,megatrade,404878,Ricoh,TYPE_PRODUCT,16239,1,1
15019,CATEGORY,"Джоггер тип 9002A для SR4060, SR4070, SR3120",dzhogger-tip-9002a-dlia-sr4060-sr4070-sr3120-415903,megatrade,415903,Ricoh,TYPE_PRODUCT,11468,1,1
15020,CATEGORY,"Жорсткий диск для MP301 версія ME",zhorstkii-disk-dlia-mp301-versiia-me-984416,megatrade,984416,Ricoh,TYPE_PRODUCT,7633,1,1
15021,CATEGORY,"Жорсткий диск тип 11 для SP C840DN",zhorstkii-disk-tip-11-dlia-sp-c840dn-408047,megatrade,408047,Ricoh,TYPE_PRODUCT,5750,1,1
15022,CATEGORY,"Модуль розгладжування ",modul-rozgladzhuvannia-404505,megatrade,404505,Ricoh,TYPE_PRODUCT,59973,1,1
15023,CATEGORY,"Пристрій для перфорації на 3/2 отвори для SR4070, SR4060",pristrii-dlia-perforatsiyi-na-3-2-otvori-dlia-sr4070-sr4060-412210,megatrade,412210,Ricoh,TYPE_PRODUCT,20949,1,1
15024,CATEGORY,"Тумба універсальна",tumba-universalna-985070,megatrade,985070,Ricoh,TYPE_PRODUCT,5848,1,1
15025,CATEGORY,"Ricoh SP 4510DN, 40 стор./хв., мережевий принтер",ricoh-sp-4510dn-40-stor-khv-merezhevii-printer-407313,megatrade,407313,Ricoh,TYPE_PRODUCT,17326,1,1
15026,CATEGORY,"Ricoh SP C842DN, 60 стор./хв., повнокольоровий мережевий принтер, дуплекс",ricoh-sp-c842dn-60-stor-khv-povnokolorovii-merezhevii-printer-dupleks-407746,megatrade,407746,Ricoh,TYPE_PRODUCT,193334,1,1
15027,CATEGORY,"Ricoh PJ WX4241N, проектор",ricoh-pj-wx4241n-proektor-432016,megatrade,432016,Ricoh,TYPE_PRODUCT,42195,1,1
15028,CATEGORY,"Ricoh PJ WX5461, проектор",ricoh-pj-wx5461-proektor-432153,megatrade,432153,Ricoh,TYPE_PRODUCT,34470,1,1
15029,CATEGORY,"Ricoh PJ X2340, проектор",ricoh-pj-x2340-proektor-432119,megatrade,432119,Ricoh,TYPE_PRODUCT,20464,1,1
